1503701484724,-2, -2, -3, -1, 1, -1, -1, 5
1503701484747,2, 0, 1, 0, -1, 0, 0, 3
1503701484748,1, 0, 1, 0, -1, -1, 0, 3
1503701484764,-1, 0, -1, -1, 1, 0, 0, 2
1503701484774,0, 0, -1, 0, -1, 0, -1, -5
1503701484778,-1, -2, -1, 1, -2, 0, 0, -6
1503701484784,-4, -3, -1, -2, -1, -2, -3, -6
1503701484800,-2, 2, -2, -1, -1, -1, -1, 1
1503701484807,0, 0, -1, -1, 0, -1, 0, 4
1503701484822,1, -1, -1, -2, -1, -1, 0, -2
1503701484829,0, 1, 0, 0, 0, 0, -1, 0
1503701484838,1, -2, -1, 0, 0, 0, -1, 2
1503701484844,2, -3, -1, -1, -1, 1, 1, -1
1503701484860,-1, 0, -1, 0, -1, -1, -3, -4
1503701484867,-1, 0, -1, -1, 1, 0, -1, -6
1503701484885,2, 1, 2, -1, -1, 0, 1, 3
1503701484890,-3, -2, -1, -1, -1, -2, -2, -2
1503701484898,0, -1, -1, -1, -1, -2, -1, 1
1503701484904,-4, 2, -1, -2, -2, 0, -1, 1
1503701484920,-1, 0, -2, -1, -3, -2, -1, 0
1503701484927,1, -2, -3, -3, 0, -2, -4, -6
1503701484943,-1, -1, -1, -1, -1, -1, 0, -2
1503701484950,-1, -1, -1, 0, -2, 0, -2, 2
1503701484957,-5, -2, -3, -1, 0, 0, -2, -3
1503701484964,1, -1, -1, -1, -1, -2, 2, 0
1503701484980,0, -1, -1, 0, -1, 0, -1, -1
1503701484987,1, -1, 0, -1, 1, 0, 1, 0
1503701485003,-2, -1, 0, 1, 1, 0, -1, 2
1503701485010,3, 0, 2, 0, 1, -2, 1, 3
1503701485018,1, -1, -1, -1, -2, -1, -1, 1
1503701485032,-2, 0, -1, 0, -3, 0, -1, 1
1503701485044,0, -1, 0, 0, -1, -1, 0, 3
1503701485048,-1, -2, -1, -2, -2, 0, 0, -3
1503701485062,-1, 0, -2, -1, -1, 1, -1, -1
1503701485069,-2, -1, -1, -1, -1, 0, -2, 0
1503701485078,0, -2, -1, -3, 1, -1, -1, -3
1503701485092,-2, -2, -2, -1, 0, 0, -1, 1
1503701485100,-2, -1, -1, 0, 0, -1, -1, 0
1503701485107,-2, -1, -3, 0, -1, 0, -2, -2
1503701485122,-1, -1, 0, -1, -1, -2, 0, -1
1503701485129,-1, -1, 0, 0, -1, -1, 0, 1
1503701485138,-2, -2, -1, -1, -2, -2, -2, -6
1503701485153,3, 1, -2, -1, 0, -1, 0, 1
1503701485161,-2, -3, -2, -1, -2, -1, -1, 0
1503701485167,1, -3, 0, 0, -1, 0, 1, 0
1503701485183,1, 1, 0, -2, 0, -2, 0, -3
1503701485190,0, -1, 0, 0, -1, 0, -1, 1
1503701485197,0, -2, -1, -1, -1, 1, 1, 4
1503701485213,1, 1, -2, 0, -1, 0, 0, 3
1503701485220,0, 1, -2, 0, 0, 0, 0, -2
1503701485228,0, 0, -2, -3, -1, -2, -1, -4
1503701485245,-1, -1, 1, 0, -1, -1, -1, -2
1503701485250,-3, -1, 0, 1, 0, 0, -1, -3
1503701485257,1, 1, 1, 1, 0, 0, -1, 2
1503701485272,-4, -3, 0, -2, 0, -1, -2, -2
1503701485280,-3, -1, -1, -1, -1, -1, -2, -12
1503701485287,1, 0, 1, -1, -2, -3, 0, 0
1503701485302,1, 0, -2, -2, -2, 0, -1, 0
1503701485312,-2, 2, 0, -1, -1, -1, -1, 0
1503701485318,-3, 0, -2, 0, -1, 0, -2, 1
1503701485332,-1, -2, 0, -1, 2, 1, 0, 1
1503701485340,3, -2, -2, -2, -1, -1, -1, -6
1503701485347,-3, 0, -1, 1, -2, -2, -1, -2
1503701485362,0, -3, -2, -1, -1, -2, -1, -3
1503701485363,-1, 0, 0, 0, 0, -2, 1, 3
1503701485369,0, -1, -1, -2, 0, -1, -1, 0
1503701485379,-1, -3, -3, -2, -1, -2, 0, -2
1503701485392,-2, -3, -3, 1, -1, 0, -1, -1
1503701485400,-1, 1, 0, -1, 1, 0, -1, 5
1503701485407,3, -2, -1, -2, -1, 0, 1, 0
1503701485422,0, -1, -1, 0, 0, -1, -2, -4
1503701485423,3, 2, 0, 0, 0, -1, 1, 3
1503701485429,-1, -1, 1, -1, 0, -3, 0, 1
1503701485438,1, -2, -1, -2, -1, -1, -2, -2
1503701485452,-1, -2, -1, 0, -2, 0, -2, 0
1503701485461,-5, -1, 0, -2, 0, -1, -3, -6
1503701485467,0, 1, -2, -1, -2, 0, -1, -1
1503701485483,-2, -3, -1, 0, -2, 0, -2, 0
1503701485490,-1, -1, -1, 0, -1, 0, -1, 1
1503701485498,-1, 1, -1, 2, -1, 0, 1, -1
1503701485514,-1, 0, -1, -1, 0, 0, 0, 0
1503701485521,0, -2, 0, -2, -2, 1, -1, 1
1503701485527,-1, 2, 0, -2, 0, -3, -1, -2
1503701485543,0, 1, -1, -1, -1, -3, 0, -5
1503701485550,-3, -4, -3, -2, 0, -1, -3, -14
1503701485558,-1, 0, -2, -1, -1, -1, -1, 3
1503701485572,0, -1, 0, 0, 0, 1, 1, 0
1503701485587,0, -2, -1, -1, 0, 2, 1, -1
1503701485588,1, 2, -2, -1, -3, 0, 1, 1
1503701485603,-1, 0, 1, -1, -1, -1, -2, -2
1503701485610,-1, -1, 0, -2, 1, -2, -1, 0
1503701485618,1, -1, -2, -2, -1, -3, -2, -1
