1503701484746,+0.529,+0.203,-0.347,-0.747,+0.753,+0.080,-0.637,-1.312,-0.312,+0.438
1503701484764,+0.529,+0.203,-0.347,-0.747,+0.752,+0.072,-0.634,-1.438,-0.625,+0.562
1503701484776,+0.529,+0.203,-0.347,-0.747,+0.754,+0.078,-0.642,-1.188,-0.062,+0.562
1503701484799,+0.529,+0.203,-0.347,-0.747,+0.750,+0.076,-0.642,-0.875,+0.062,+0.562
1503701484821,+0.529,+0.203,-0.347,-0.747,+0.759,+0.074,-0.635,-1.062,+0.312,+0.562
1503701484836,+0.529,+0.203,-0.347,-0.747,+0.755,+0.072,-0.636,-1.125,+0.312,+0.625
1503701484859,+0.529,+0.203,-0.347,-0.747,+0.759,+0.069,-0.637,-1.125,-0.188,+0.562
1503701484882,+0.529,+0.203,-0.347,-0.747,+0.758,+0.075,-0.644,-1.125,-0.688,+0.500
1503701484896,+0.529,+0.203,-0.347,-0.747,+0.758,+0.073,-0.639,-1.250,-0.938,+0.250
1503701484919,+0.529,+0.203,-0.347,-0.747,+0.754,+0.074,-0.637,-1.312,-0.625,+0.188
1503701484943,+0.529,+0.203,-0.347,-0.747,+0.750,+0.077,-0.640,-1.250,-0.562,+0.312
1503701484956,+0.529,+0.203,-0.347,-0.747,+0.750,+0.076,-0.635,-1.438,+0.062,+0.312
1503701484979,+0.529,+0.202,-0.347,-0.747,+0.752,+0.077,-0.644,-1.250,+0.062,+0.562
1503701485001,+0.529,+0.202,-0.347,-0.747,+0.747,+0.076,-0.641,-1.188,-0.625,+0.562
1503701485016,+0.529,+0.202,-0.347,-0.747,+0.751,+0.081,-0.638,-1.188,+0.688,+0.375
1503701485039,+0.529,+0.202,-0.347,-0.747,+0.754,+0.078,-0.637,-1.062,+0.438,+0.625
1503701485061,+0.529,+0.202,-0.347,-0.747,+0.755,+0.075,-0.633,-1.250,+0.188,+0.875
1503701485079,+0.529,+0.202,-0.347,-0.747,+0.757,+0.072,-0.637,-1.250,+0.000,+0.750
1503701485099,+0.529,+0.202,-0.347,-0.747,+0.754,+0.075,-0.636,-1.188,-0.500,+0.625
1503701485121,+0.529,+0.202,-0.347,-0.747,+0.755,+0.079,-0.639,-1.125,+0.125,+0.562
1503701485136,+0.529,+0.202,-0.347,-0.747,+0.751,+0.078,-0.638,-0.750,-0.312,+0.875
1503701485159,+0.529,+0.202,-0.347,-0.747,+0.754,+0.073,-0.644,-0.812,+0.188,+0.875
1503701485182,+0.529,+0.202,-0.347,-0.747,+0.750,+0.075,-0.642,-0.875,+0.500,+0.750
1503701485196,+0.529,+0.202,-0.347,-0.747,+0.764,+0.072,-0.638,-0.938,+0.125,+0.562
1503701485219,+0.529,+0.202,-0.347,-0.747,+0.759,+0.074,-0.635,-1.062,+0.500,+0.625
1503701485241,+0.529,+0.202,-0.347,-0.747,+0.757,+0.071,-0.628,-1.125,-0.562,+0.500
1503701485256,+0.529,+0.202,-0.347,-0.747,+0.757,+0.067,-0.636,-1.125,-0.312,+0.312
1503701485279,+0.529,+0.202,-0.347,-0.747,+0.758,+0.072,-0.632,-1.250,-0.375,+0.062
1503701485301,+0.529,+0.202,-0.347,-0.747,+0.751,+0.077,-0.637,-1.375,-0.938,+0.188
1503701485317,+0.529,+0.202,-0.347,-0.747,+0.750,+0.075,-0.633,-1.312,-0.625,+0.125
1503701485339,+0.529,+0.202,-0.347,-0.747,+0.758,+0.073,-0.633,-1.250,-1.312,+0.312
1503701485361,+0.529,+0.202,-0.347,-0.747,+0.755,+0.078,-0.632,-1.312,-0.750,+0.312
1503701485377,+0.529,+0.202,-0.347,-0.747,+0.754,+0.071,-0.638,-1.375,-0.750,+0.312
1503701485399,+0.529,+0.202,-0.347,-0.747,+0.752,+0.069,-0.637,-1.375,-0.750,+0.250
1503701485421,+0.529,+0.202,-0.347,-0.747,+0.753,+0.077,-0.641,-1.500,-0.250,+0.188
1503701485436,+0.529,+0.202,-0.347,-0.747,+0.755,+0.075,-0.634,-1.500,-0.250,+0.188
1503701485459,+0.529,+0.202,-0.347,-0.747,+0.755,+0.077,-0.640,-1.500,+0.000,+0.438
1503701485482,+0.529,+0.202,-0.347,-0.747,+0.753,+0.077,-0.635,-1.312,-0.125,+0.500
1503701485496,+0.529,+0.202,-0.347,-0.747,+0.750,+0.077,-0.639,-1.250,+0.188,+0.625
1503701485521,+0.529,+0.202,-0.347,-0.747,+0.750,+0.077,-0.640,-1.125,+0.250,+0.688
1503701485541,+0.529,+0.202,-0.347,-0.747,+0.753,+0.076,-0.642,-1.000,-0.062,+0.688
1503701485556,+0.529,+0.202,-0.347,-0.747,+0.752,+0.078,-0.635,-0.938,-0.062,+0.750
1503701485586,+0.529,+0.202,-0.347,-0.747,+0.754,+0.074,-0.634,-0.875,+0.625,+0.812
1503701485601,+0.529,+0.202,-0.347,-0.747,+0.754,+0.072,-0.636,-0.750,+0.125,+0.875
1503701485616,+0.529,+0.202,-0.347,-0.747,+0.756,+0.076,-0.636,-0.812,+0.625,+0.500
1503701485639,+0.529,+0.202,-0.347,-0.747,+0.754,+0.072,-0.635,-0.812,+0.125,+0.750
1503701485661,+0.529,+0.202,-0.347,-0.747,+0.751,+0.067,-0.625,-0.875,+0.062,+0.438
1503701485684,+0.529,+0.202,-0.347,-0.747,+0.761,+0.071,-0.633,-1.375,+0.250,+0.312
1503701485699,+0.529,+0.202,-0.347,-0.747,+0.760,+0.077,-0.640,-1.375,-1.375,+0.375
1503701485721,+0.529,+0.202,-0.347,-0.747,+0.749,+0.075,-0.643,-1.250,-0.500,+0.312
1503701485736,+0.529,+0.202,-0.347,-0.747,+0.747,+0.073,-0.639,-1.125,-0.625,+0.500
1503701485759,+0.529,+0.202,-0.347,-0.747,+0.749,+0.070,-0.640,-1.062,-0.438,+0.438
1503701485782,+0.529,+0.202,-0.347,-0.747,+0.757,+0.077,-0.638,-1.500,+0.375,+0.375
1503701485796,+0.529,+0.202,-0.347,-0.747,+0.756,+0.075,-0.640,-1.312,+0.312,+0.438
